sample_id, sample_time_start, sample_time_end, port_0_rx_bytes, port_0_tx_bytes, port_0_rx_packets, port_0_tx_packets, pcie_link_latency_total_read_packets, pcie_link_latency_total_read_ns, pcie_link_latency_max_read_ns, pcie_link_latency_min_read_ns
137,1284272.253385768,1284272.253422910, 22652510580309, 9567864083981654, 237326734672, 8900272251079, 1063, 655416, 1057, 433
138,1284272.253486114,1284272.253523640, 22652510581109, 9567864085216618, 237326734682, 8900272252224, 1077, 669212, 1128, 485
139,1284272.253586378,1284272.253623654, 22652510582109, 9567864086446120, 237326734690, 8900272253358, 1069, 660537, 1021, 485
140,1284272.253688024,1284272.253725488, 22652510583109, 9567864087694692, 237326734700, 8900272254510, 1087, 671426, 1010, 423
141,1284272.253788280,1284272.253825352, 22652510583909, 9567864088921610, 237326734710, 8900272255644, 1053, 644242, 1051, 485
142,1284272.253888666,1284272.253925706, 22652510584909, 9567864090152934, 237326734720, 8900272256784, 1073, 661978, 1255, 485
143,1284272.253988976,1284272.254026250, 22652510585909, 9567864091388090, 237326734728, 8900272257924, 1077, 662521, 1037, 426
144,1284272.254090476,1284272.254127888, 22652510586909, 9567864092635128, 237326734738, 8900272259074, 1079, 667162, 978, 487
145,1284272.254191094,1284272.254228322, 22652510587709, 9567864093867892, 237326734748, 8900272260214, 1074, 664564, 987, 483
146,1284272.254291162,1284272.254328684, 22652510588709, 9567864095098640, 237326734758, 8900272261354, 1071, 659282, 998, 466
147,1284272.254391904,1284272.254429092, 22652510589709, 9567864096335234, 237326734768, 8900272262493, 1072, 658900, 991, 485
148,1284272.254492084,1284272.254529478, 22652510590709, 9567864097564834, 237326734776, 8900272263630, 1073, 664391, 1064, 487
149,1284272.254592774,1284272.254630008, 22652510591709, 9567864098797596, 237326734786, 8900272264770, 1074, 651882, 1032, 428
150,1284272.254693454,1284272.254730492, 22652510592509, 9567864100031410, 237326734796, 8900272265913, 1076, 660235, 985, 482
151,1284272.254794460,1284272.254831644, 22652510593509, 9567864101275958, 237326734804, 8900272267059, 1089, 669335, 994, 483
152,1284272.254895814,1284272.254933230, 22652510594509, 9567864102519834, 237326734814, 8900272268210, 1086, 666408, 1030, 485
153,1284272.254996186,1284272.255033352, 22652510595509, 9567864103749530, 237326734824, 8900272269345, 1066, 655591, 982, 485
154,1284272.255097706,1284272.255134790, 22652510596309, 9567864104993790, 237326734834, 8900272270498, 1083, 670683, 1008, 482
155,1284272.255199192,1284272.255236302, 22652510597309, 9567864106242650, 237326734844, 8900272271650, 1080, 669560, 1026, 483
156,1284272.255300894,1284272.255338186, 22652510598309, 9567864107489784, 237326734852, 8900272272802, 1082, 660246, 1025, 478
157,1284272.255401626,1284272.255438726, 22652510599309, 9567864108723504, 237326734862, 8900272273943, 1066, 655758, 989, 483
158,1284272.255502396,1284272.255539518, 22652510600309, 9567864109960480, 237326734872, 8900272275089, 1086, 668264, 1000, 482
159,1284272.255602978,1284272.255640022, 22652510601109, 9567864111196118, 237326734882, 8900272276229, 1073, 656912, 980, 423
160,1284272.255703474,1284272.255740868, 22652510602109, 9567864112432328, 237326734890, 8900272277370, 1074, 656717, 1153, 483
161,1284272.255804750,1284272.255841794, 22652510603109, 9567864113670456, 237326734900, 8900272278515, 1074, 665407, 1050, 483
162,1284272.255906154,1284272.255943250, 22652510603909, 9567864114915196, 237326734910, 8900272279668, 1083, 667566, 987, 483
163,1284272.256007732,1284272.256044982, 22652510604909, 9567864116163864, 237326734920, 8900272280821, 1086, 674582, 1053, 483
164,1284272.256108920,1284272.256146108, 22652510605909, 9567864117406016, 237326734930, 8900272281966, 1080, 660746, 980, 485
165,1284272.256209916,1284272.256246846, 22652510606909, 9567864118642418, 237326734938, 8900272283109, 1075, 661505, 982, 483
166,1284272.256311226,1284272.256348224, 22652510607909, 9567864119886008, 237326734948, 8900272284262, 1088, 676444, 1012, 487
167,1284272.256411658,1284272.256448612, 22652510608709, 9567864121121452, 237326734958, 8900272285401, 1068, 663201, 1055, 485
